original_field,mapped_field,count,sample_files
"17 I HEREBY CERTIFY, That I attended the deceased from (Month)","17 I HEREBY CERTIFY, That I attended the deceased from (Month)",1,"Tilghman, John W.txt"
"17 I HEREBY CERTIFY, That I attended the deceased from (Year)","17 I HEREBY CERTIFY, That I attended the deceased from (Year)",1,"Tilghman, John W.txt"
"17 I HEREBY CERTIFY, That I attended the deceased to","17 I HEREBY CERTIFY, That I attended the deceased to",1,"Dennis, Irvin.txt"
"17 I HEREBY CERTIFY, and that death occurred on the date stated above, at Time","17 I HEREBY CERTIFY, and that death occurred on the date stated above, at Time",1,"Johnson, Oscar.txt"
"17 I HEREBY CERTIFY, attended deceased from","17 I HEREBY CERTIFY, attended deceased from",1,"Dennis, Louis.txt"
"17 I HEREBY CERTIFY, attended deceased to","17 I HEREBY CERTIFY, attended deceased to",1,"Dennis, Louis.txt"
"17 I HEREBY CERTIFY, death occurred at","17 I HEREBY CERTIFY, death occurred at",1,"Dennis, Louis.txt"
"17 I HEREBY CERTIFY, last saw him alive on","17 I HEREBY CERTIFY, last saw him alive on",1,"Dennis, Louis.txt"
"17 I HEREBY CERTIFY, that I last saw h... alive on Date","17 I HEREBY CERTIFY, that I last saw h... alive on Date",1,"Johnson, Oscar.txt"
"17 I HEREBY CERTIFY, to Date","17 I HEREBY CERTIFY, to Date",1,"Johnson, Oscar.txt"
17 I HEREBY CERTIFY. That I attended deceased from - (Day),17 I HEREBY CERTIFY. That I attended deceased from - (Day),1,"Landman, Milton.txt"
17 I HEREBY CERTIFY. That I attended deceased from - (Month),17 I HEREBY CERTIFY. That I attended deceased from - (Month),1,"Landman, Milton.txt"
17 I HEREBY CERTIFY. That I attended deceased from - (Year),17 I HEREBY CERTIFY. That I attended deceased from - (Year),1,"Landman, Milton.txt"
17 I HEREBY CERTIFY. That I attended deceased to - (Day),17 I HEREBY CERTIFY. That I attended deceased to - (Day),1,"Landman, Milton.txt"
17 I HEREBY CERTIFY. That I attended deceased to - (Month),17 I HEREBY CERTIFY. That I attended deceased to - (Month),1,"Landman, Milton.txt"
17 I HEREBY CERTIFY. That I attended deceased to - (Year),17 I HEREBY CERTIFY. That I attended deceased to - (Year),1,"Landman, Milton.txt"
17 I attended deceased from (Day),17 I attended deceased from (Day),1,"Joffey, Benjamin.txt"
17 I attended deceased from (Month),17 I attended deceased from (Month),1,"Joffey, Benjamin.txt"
17 I attended deceased from (Year),17 I attended deceased from (Year),1,"Joffey, Benjamin.txt"
17 Last Saw Him Alive On (Day),17 Last Saw Him Alive On (Day),1,"Jacobs, Edward.txt"
17 Last Saw Him Alive On (Month),17 Last Saw Him Alive On (Month),1,"Jacobs, Edward.txt"
17 Last Saw Him Alive On (Year),17 Last Saw Him Alive On (Year),1,"Jacobs, Edward.txt"
17 Last saw him alive at,17 Last saw him alive at,1,"Parker, William.txt"
17 Last saw him alive on,17 Last saw him alive on,1,"Hill Jr, Samuel.txt"
17 Last saw him alive on Day,17 Last saw him alive on Day,1,"Parker, William.txt"
17 Last saw him alive on Month,17 Last saw him alive on Month,1,"Parker, William.txt"
17 Last saw him alive on Year,17 Last saw him alive on Year,1,"Parker, William.txt"
17 M.D.,17 M.D.,1,"Ashton, Ernest.txt"
17 Physician Address,17 Physician Address,1,"Jacobs, Edward.txt"
17 Physician Date Signed,17 Physician Date Signed,1,"Jacobs, Edward.txt"
17 Physician Signed,17 Physician Signed,1,"Jacobs, Edward.txt"
17 Signed Address,17 Signed Address,1,"Martin, Mitchell.txt"
17 Signed Date,17 Signed Date,1,"Martin, Mitchell.txt"
17 Signed M. D. Name,17 Signed M. D. Name,1,"Martin, Mitchell.txt"
17 THE CAUSE OF DEATH (Duration) ds,CAUSE_OF_DEATH_Duration_days,1,"Blanks, James.txt"
17 THE CAUSE OF DEATH (Duration) mos,CAUSE_OF_DEATH_Duration_months,1,"Blanks, James.txt"
17 THE CAUSE OF DEATH (Duration) yrs,CAUSE_OF_DEATH_Duration_years,1,"Blanks, James.txt"
17 THE CAUSE OF DEATH * Duration ds,17 THE CAUSE OF DEATH * Duration ds,1,"Martin, Mitchell.txt"
17 THE CAUSE OF DEATH * Duration mos,17 THE CAUSE OF DEATH * Duration mos,1,"Martin, Mitchell.txt"
17 THE CAUSE OF DEATH * Duration yrs,17 THE CAUSE OF DEATH * Duration yrs,1,"Martin, Mitchell.txt"
17 THE CAUSE OF DEATH * was as follows,17 THE CAUSE OF DEATH * was as follows,1,"Martin, Mitchell.txt"
17 THE CAUSE OF DEATH was as follows,17 THE CAUSE OF DEATH was as follows,1,"Blanks, James.txt"
17 THE CAUSE OF DEATH* (Duration) ds,CAUSE_OF_DEATH_Duration_days,1,"Ashton, Ernest.txt"
17 THE CAUSE OF DEATH* (Duration) mos,CAUSE_OF_DEATH_Duration_months,1,"Ashton, Ernest.txt"
17 THE CAUSE OF DEATH* (Duration) yrs,CAUSE_OF_DEATH_Duration_years,1,"Ashton, Ernest.txt"
17 THE CAUSE OF DEATH* was as follows Primary Cause,CAUSE_OF_DEATH_Primary,1,"Ashton, Ernest.txt"
17 THE CAUSE OF DEATH* was as follows Secondary Cause,CAUSE_OF_DEATH_Secondary,1,"Ashton, Ernest.txt"
17 The CAUSE OF DEATH - Primary,17 The CAUSE OF DEATH - Primary,1,"Russell, Coley.txt"
17 The CAUSE OF DEATH - Primary Duration Days,17 The CAUSE OF DEATH - Primary Duration Days,1,"Russell, Coley.txt"
17 The CAUSE OF DEATH - Primary Duration Months,17 The CAUSE OF DEATH - Primary Duration Months,1,"Russell, Coley.txt"
17 The CAUSE OF DEATH - Primary Duration Years,17 The CAUSE OF DEATH - Primary Duration Years,1,"Russell, Coley.txt"
17 The CAUSE OF DEATH* (Duration) ds.,17 The CAUSE OF DEATH* (Duration) ds.,1,"Thomas, Joe.txt"
17 The CAUSE OF DEATH* (Duration) mos.,17 The CAUSE OF DEATH* (Duration) mos.,1,"Thomas, Joe.txt"
17 The CAUSE OF DEATH* (Duration) yrs.,17 The CAUSE OF DEATH* (Duration) yrs.,1,"Thomas, Joe.txt"
17 The CAUSE OF DEATH* was as follows,17 The CAUSE OF DEATH* was as follows,1,"Thomas, Joe.txt"
"17 and that death occurred on the date stated above, at (Time)","17 and that death occurred on the date stated above, at (Time)",1,"Tilghman, John W.txt"
17 death occurred at (Time),17 death occurred at (Time),1,"Joffey, Benjamin.txt"
17 last saw h... alive on (Day),17 last saw h... alive on (Day),1,"Joffey, Benjamin.txt"
17 last saw h... alive on (Month),17 last saw h... alive on (Month),1,"Joffey, Benjamin.txt"
17 last saw h... alive on (Year),17 last saw h... alive on (Year),1,"Joffey, Benjamin.txt"
17 that I last saw h... alive on,17 that I last saw h... alive on,1,"King, John Henry.txt"
17 that I last saw h... alive on - Day,17 that I last saw h... alive on - Day,1,"Hamilton, Arthur.txt"
17 that I last saw h... alive on - Month,17 that I last saw h... alive on - Month,1,"Hamilton, Arthur.txt"
17 that I last saw h... alive on - Year,17 that I last saw h... alive on - Year,1,"Hamilton, Arthur.txt"
17 that I last saw h__ alive on (Day),17 that I last saw h__ alive on (Day),1,"Richardson, Alexander.txt"
17 that I last saw h__ alive on (Month),17 that I last saw h__ alive on (Month),1,"Richardson, Alexander.txt"
17 that I last saw h__ alive on (Year),17 that I last saw h__ alive on (Year),1,"Richardson, Alexander.txt"
17 that I last saw h__ alive on Day,17 that I last saw h__ alive on Day,1,"Martin, Mitchell.txt"
17 that I last saw h__ alive on Month,17 that I last saw h__ alive on Month,1,"Martin, Mitchell.txt"
17 that I last saw h__ alive on Year,17 that I last saw h__ alive on Year,1,"Martin, Mitchell.txt"
17 that I last saw h____ alive on (Day),17 that I last saw h____ alive on (Day),1,"Carter, William Arthur.txt"
17 that I last saw h____ alive on (Month),17 that I last saw h____ alive on (Month),1,"Carter, William Arthur.txt"
17 that I last saw h____ alive on (Year),17 that I last saw h____ alive on (Year),1,"Carter, William Arthur.txt"
17 that I last saw h_im alive on,17 that I last saw h_im alive on,1,"Corry, Raymond.txt"
17 that I last saw h_im alive on (Day),17 that I last saw h_im alive on (Day),1,"Robinson, Paul.txt"
17 that I last saw h_im alive on (Month),17 that I last saw h_im alive on (Month),1,"Robinson, Paul.txt"
17 that I last saw h_im alive on (Year),17 that I last saw h_im alive on (Year),1,"Robinson, Paul.txt"
17 that I last saw h_im_ alive on,17 that I last saw h_im_ alive on,1,"Pratt, Louis.txt"
17 that I last saw h_im_ alive on (Date),17 that I last saw h_im_ alive on (Date),1,"Thomas, Joe.txt"
17 that I last saw h_m alive on - Day,17 that I last saw h_m alive on - Day,1,"Jones, James.txt"
17 that I last saw h_m alive on - Month,17 that I last saw h_m alive on - Month,1,"Jones, James.txt"
17 that I last saw h_m alive on - Year,17 that I last saw h_m alive on - Year,1,"Jones, James.txt"
17 that I last saw him alive on (Date),17 that I last saw him alive on (Date),1,"Dickerson, Ira.txt"
17 that I last saw him alive on (Day),17 that I last saw him alive on (Day),1,"Ashton, Ernest.txt"
17 that I last saw him alive on (Month),17 that I last saw him alive on (Month),1,"Ashton, Ernest.txt"
17 that I last saw him alive on (Year),17 that I last saw him alive on (Year),1,"Ashton, Ernest.txt"
17 that I last saw him alive on - (Day),17 that I last saw him alive on - (Day),1,"Landman, Milton.txt"
17 that I last saw him alive on - (Month),17 that I last saw him alive on - (Month),1,"Landman, Milton.txt"
17 that I last saw him alive on - (Year),17 that I last saw him alive on - (Year),1,"Landman, Milton.txt"
17 that I last saw him alive on - Day,17 that I last saw him alive on - Day,1,"White, Matthew.txt"
17 that I last saw him alive on - Month,17 that I last saw him alive on - Month,1,"White, Matthew.txt"
17 that I last saw him alive on - Year,17 that I last saw him alive on - Year,1,"White, Matthew.txt"
17 to,17 to,1,"Corry, Raymond.txt"
17 to - Day,17 to - Day,1,"Hamilton, Arthur.txt"
17 to - Month,17 to - Month,1,"Hamilton, Arthur.txt"
17 to - Year,17 to - Year,1,"Hamilton, Arthur.txt"
17. Attended deceased from,17. Attended deceased from,1,"Marshall, William.txt"
17. Attended deceased to,17. Attended deceased to,1,"Marshall, William.txt"
17. Death occurred at (time),17. Death occurred at (time),1,"Marshall, William.txt"
17. INFORMANT (Name),INFORMANT,1,"Ennis, Emanuel.txt"
17. INFORMANT - (Address),INFORMANT,1,"Tyler, James.txt"
17. INFORMANT - Name,INFORMANT,1,"Clayton, Paul.txt"
17. Last saw alive on,17. Last saw alive on,1,"Marshall, William.txt"
18 LENGTH OF RESIDENCE (At place of death - days),18 LENGTH OF RESIDENCE (At place of death - days),1,"Jones, Paul.txt"
18 LENGTH OF RESIDENCE (At place of death - months),18 LENGTH OF RESIDENCE (At place of death - months),1,"Jones, Paul.txt"
18 LENGTH OF RESIDENCE (At place of death - years),18 LENGTH OF RESIDENCE (At place of death - years),1,"Jones, Paul.txt"
18 LENGTH OF RESIDENCE (At place) (Days),18 LENGTH OF RESIDENCE (At place) (Days),1,"Wall, Jesse.txt"
18 LENGTH OF RESIDENCE (At place) (Months),18 LENGTH OF RESIDENCE (At place) (Months),1,"Wall, Jesse.txt"
18 LENGTH OF RESIDENCE (At place) (Years),18 LENGTH OF RESIDENCE (At place) (Years),1,"Wall, Jesse.txt"
"18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - At place of death - da.","18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - At place of death - da.",1,"Dennis, Irvin.txt"
"18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - At place of death - mos.","18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - At place of death - mos.",1,"Dennis, Irvin.txt"
"18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - At place of death - yrs.","18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - At place of death - yrs.",1,"Dennis, Irvin.txt"
"18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - In the State - da.","18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - In the State - da.",1,"Dennis, Irvin.txt"
"18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - In the State - mos.","18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - In the State - mos.",1,"Dennis, Irvin.txt"
"18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - In the State - yrs.","18 LENGTH OF RESIDENCE (For Hospitals, Institutions, Transients, or Recent Residents) - In the State - yrs.",1,"Dennis, Irvin.txt"
18 LENGTH OF RESIDENCE (In the State - days),18 LENGTH OF RESIDENCE (In the State - days),1,"Jones, Paul.txt"
18 LENGTH OF RESIDENCE (In the State - months),18 LENGTH OF RESIDENCE (In the State - months),1,"Jones, Paul.txt"
18 LENGTH OF RESIDENCE (In the State - years),18 LENGTH OF RESIDENCE (In the State - years),1,"Jones, Paul.txt"
18 LENGTH OF RESIDENCE (In the State) (Days),18 LENGTH OF RESIDENCE (In the State) (Days),1,"Wall, Jesse.txt"
18 LENGTH OF RESIDENCE (In the State) (Months),18 LENGTH OF RESIDENCE (In the State) (Months),1,"Wall, Jesse.txt"
18 LENGTH OF RESIDENCE (In the State) (Years),18 LENGTH OF RESIDENCE (In the State) (Years),1,"Wall, Jesse.txt"
18 LENGTH OF RESIDENCE - At place of death - ds.,18 LENGTH OF RESIDENCE - At place of death - ds.,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - At place of death - mos.,18 LENGTH OF RESIDENCE - At place of death - mos.,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - At place of death - yrs.,18 LENGTH OF RESIDENCE - At place of death - yrs.,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - At place of death Days,18 LENGTH OF RESIDENCE - At place of death Days,1,"Russell, Coley.txt"
18 LENGTH OF RESIDENCE - At place of death Months,18 LENGTH OF RESIDENCE - At place of death Months,1,"Russell, Coley.txt"
18 LENGTH OF RESIDENCE - At place of death Years,18 LENGTH OF RESIDENCE - At place of death Years,1,"Russell, Coley.txt"
18 LENGTH OF RESIDENCE - Former or usual residence,18 LENGTH OF RESIDENCE - Former or usual residence,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - If not at place of death?,18 LENGTH OF RESIDENCE - If not at place of death?,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - If where disease contracted?,18 LENGTH OF RESIDENCE - If where disease contracted?,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - In the State - ds.,18 LENGTH OF RESIDENCE - In the State - ds.,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - In the State - mos.,18 LENGTH OF RESIDENCE - In the State - mos.,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - In the State - yrs.,18 LENGTH OF RESIDENCE - In the State - yrs.,1,"Hamilton, Arthur.txt"
18 LENGTH OF RESIDENCE - In the State Days,18 LENGTH OF RESIDENCE - In the State Days,1,"Russell, Coley.txt"
18 LENGTH OF RESIDENCE - In the State Months,18 LENGTH OF RESIDENCE - In the State Months,1,"Russell, Coley.txt"
18 LENGTH OF RESIDENCE - In the State Years,18 LENGTH OF RESIDENCE - In the State Years,1,"Russell, Coley.txt"
18 LENGTH OF RESIDENCE At place (Ds),18 LENGTH OF RESIDENCE At place (Ds),1,"Hill Jr, Samuel.txt"
18 LENGTH OF RESIDENCE At place (Mos),18 LENGTH OF RESIDENCE At place (Mos),1,"Hill Jr, Samuel.txt"
18 LENGTH OF RESIDENCE At place (Yrs),18 LENGTH OF RESIDENCE At place (Yrs),1,"Hill Jr, Samuel.txt"
18 LENGTH OF RESIDENCE At place (ds),18 LENGTH OF RESIDENCE At place (ds),1,"Joffey, Benjamin.txt"
18 LENGTH OF RESIDENCE At place (mos),18 LENGTH OF RESIDENCE At place (mos),1,"Joffey, Benjamin.txt"
18 LENGTH OF RESIDENCE At place (yrs),18 LENGTH OF RESIDENCE At place (yrs),1,"Joffey, Benjamin.txt"
18 LENGTH OF RESIDENCE At place of death (da),18 LENGTH OF RESIDENCE At place of death (da),1,"Tilghman, John W.txt"
18 LENGTH OF RESIDENCE At place of death (ds),18 LENGTH OF RESIDENCE At place of death (ds),1,"Evans, James.txt"
18 LENGTH OF RESIDENCE If not at place of death?,18 LENGTH OF RESIDENCE If not at place of death?,1,"Bacon, John Henry.txt"
18 LENGTH OF RESIDENCE In the State (Ds),18 LENGTH OF RESIDENCE In the State (Ds),1,"Hill Jr, Samuel.txt"
18 LENGTH OF RESIDENCE In the State (Mos),18 LENGTH OF RESIDENCE In the State (Mos),1,"Hill Jr, Samuel.txt"
18 LENGTH OF RESIDENCE In the State (Yrs),18 LENGTH OF RESIDENCE In the State (Yrs),1,"Hill Jr, Samuel.txt"
18 LENGTH OF RESIDENCE In the State (da),18 LENGTH OF RESIDENCE In the State (da),1,"Tilghman, John W.txt"
"18 LENGTH OF RESIDENCE Where was disease contracted, if not at place of death?","18 LENGTH OF RESIDENCE Where was disease contracted, if not at place of death?",1,"Dennis, Louis.txt"
18 Length of Residence At Place of Death (Days),18 Length of Residence At Place of Death (Days),1,"Jacobs, Edward.txt"
18 Length of Residence At Place of Death (Months),18 Length of Residence At Place of Death (Months),1,"Jacobs, Edward.txt"
18 Length of Residence At Place of Death (Years),18 Length of Residence At Place of Death (Years),1,"Jacobs, Edward.txt"
18 Length of Residence In The State (Days),18 Length of Residence In The State (Days),1,"Jacobs, Edward.txt"
18 Length of Residence In The State (Months),18 Length of Residence In The State (Months),1,"Jacobs, Edward.txt"
18 Length of Residence In The State (Years),18 Length of Residence In The State (Years),1,"Jacobs, Edward.txt"
18. Date,18. Date,1,"Ames Jr, Fred .txt"
18. LENGTH OF RESIDENCE - At place of death (Days),18. LENGTH OF RESIDENCE - At place of death (Days),1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - At place of death (Months),18. LENGTH OF RESIDENCE - At place of death (Months),1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - At place of death (Years),18. LENGTH OF RESIDENCE - At place of death (Years),1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - Former/usual residence,18. LENGTH OF RESIDENCE - Former/usual residence,1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - Of State (Days),18. LENGTH OF RESIDENCE - Of State (Days),1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - Of State (Months),18. LENGTH OF RESIDENCE - Of State (Months),1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - Of State (Years),18. LENGTH OF RESIDENCE - Of State (Years),1,"Marshall, William.txt"
18. LENGTH OF RESIDENCE - Where disease contracted,18. LENGTH OF RESIDENCE - Where disease contracted,1,"Marshall, William.txt"
18. Place,18. Place,1,"Ames Jr, Fred .txt"
19,19,1,"Davis, William C..txt"
19 DATE OF BURIAL - (Day),19 DATE OF BURIAL - (Day),1,"Landman, Milton.txt"
19 DATE OF BURIAL - (Month),19 DATE OF BURIAL - (Month),1,"Landman, Milton.txt"
19 DATE OF BURIAL - (Year),19 DATE OF BURIAL - (Year),1,"Landman, Milton.txt"
19 DATE OF BURIAL Day,19 DATE OF BURIAL Day,1,"Martin, Mitchell.txt"
19 DATE OF BURIAL Month,19 DATE OF BURIAL Month,1,"Martin, Mitchell.txt"
19 DATE OF BURIAL Year,19 DATE OF BURIAL Year,1,"Martin, Mitchell.txt"
19 Date of Burial (Day),19 Date of Burial (Day),1,"Jacobs, Edward.txt"
19 Date of Burial (Month),19 Date of Burial (Month),1,"Jacobs, Edward.txt"
19 Date of Burial (Year),19 Date of Burial (Year),1,"Jacobs, Edward.txt"
19 PLACE OF BURIAL OR REMOVAL Location,BURIAL_CREMATION_OR_REMOVAL_Place,1,"Martin, Mitchell.txt"
19 Place of Burial or Removal,BURIAL_CREMATION_OR_REMOVAL_Place,1,"Jacobs, Edward.txt"
19. PLACE OF BURIAL OR REMOVAL,19. PLACE OF BURIAL OR REMOVAL,1,"Marshall, William.txt"
19. UNDERTAKER (Name),UNDERTAKER,1,"Ennis, Emanuel.txt"
19. UNDERTAKER - (Address),UNDERTAKER,1,"Tyler, James.txt"
19. UNDERTAKER - Name,UNDERTAKER,1,"Clayton, Paul.txt"
"2 FULL NAME,Francis Campbell",FULL_NAME,1,"Campbell, Francis.txt"
2 Full Name,FULL_NAME,1,"Jacobs, Edward.txt"
2. (a) Residence: City,2. (a) Residence: City,1,"Williams, Frank.txt"
2. (a) Residence: If nonresident give city or town and State,2. (a) Residence: If nonresident give city or town and State,1,"Ames Jr, Fred .txt"
2. (a) Residence: Street,2. (a) Residence: Street,1,"Williams, Frank.txt"
2. FULL NAME (Usual place of abode) If nonresident give city or town and State,FULL_NAME,1,"Saunders, Richard E.txt"
2. FULL NAME (a) Residence: St.,FULL_NAME,1,"Saunders, Richard E.txt"
2. FULL NAME - (Usual place of abode),FULL_NAME,1,"Hunter, George W.txt"
2. FULL NAME - (a) Residence - No.,FULL_NAME,1,"Clayton, Paul.txt"
2. FULL NAME - (a) Residence - State,FULL_NAME,1,"Clayton, Paul.txt"
2. FULL NAME - Street,FULL_NAME,1,"Clayton, Paul.txt"
2. FULL NAME If nonresident give city or town and State,FULL_NAME,1,"Ennis, Emanuel.txt"
2. If nonresident give city or town and State,2. If nonresident give city or town and State,1,"Hall, Thomas.txt"
2. St. (Residence),2. St. (Residence),1,"Hall, Thomas.txt"
2. Ward (Residence),2. Ward (Residence),1,"Hall, Thomas.txt"
20 ADDRESS (Undertaker),20 ADDRESS (Undertaker),1,"Jones, Paul.txt"
20 ADDRESS (of Undertaker),20 ADDRESS (of Undertaker),1,"Pratt, Louis.txt"
20 ADDRESS (of undertaker),20 ADDRESS (of undertaker),1,"Carter, William Arthur.txt"
20 UNDERTAKER (Address),UNDERTAKER,1,"Wall, Jesse.txt"
20 UNDERTAKER - Address,UNDERTAKER,1,"Hamilton, Arthur.txt"
20 UNDERTAKER Address,UNDERTAKER,1,"Martin, Mitchell.txt"
20 Undertaker,20 Undertaker,1,"Jacobs, Edward.txt"
20 Undertaker Address,UNDERTAKER,1,"Jacobs, Edward.txt"
20. FILED (Registrar),20. FILED (Registrar),1,"Hall, Thomas.txt"
20. FILED - Local Registrar,20. FILED - Local Registrar,1,"Clayton, Paul.txt"
20. FILED - Registrar,20. FILED - Registrar,1,"Hunter, George W.txt"
20. UNDERTAKER,20. UNDERTAKER,1,"Marshall, William.txt"
20. UNDERTAKER - ADDRESS,20. UNDERTAKER - ADDRESS,1,"Marshall, William.txt"
21. DATE OF DEATH - (Day),21. DATE OF DEATH - (Day),1,"Tyler, James.txt"
21. DATE OF DEATH - (Month),21. DATE OF DEATH - (Month),1,"Tyler, James.txt"
21. DATE OF DEATH - (Year),21. DATE OF DEATH - (Year),1,"Tyler, James.txt"
21. DATE OF DEATH 193 Year,21. DATE OF DEATH 193 Year,1,"Davis, William C..txt"
22. I HEREBY CERTIFY - I last saw h..m.. alive on - Day,22. I HEREBY CERTIFY - I last saw h..m.. alive on - Day,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - I last saw h..m.. alive on - Month,22. I HEREBY CERTIFY - I last saw h..m.. alive on - Month,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - I last saw h..m.. alive on - Year,22. I HEREBY CERTIFY - I last saw h..m.. alive on - Year,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - attended deceased from - Month,22. I HEREBY CERTIFY - attended deceased from - Month,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - attended deceased from - Year,22. I HEREBY CERTIFY - attended deceased from - Year,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - attended deceased to - Month,22. I HEREBY CERTIFY - attended deceased to - Month,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - attended deceased to - Year,22. I HEREBY CERTIFY - attended deceased to - Year,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY - death is said to have occurred at - Time,22. I HEREBY CERTIFY - death is said to have occurred at - Time,1,"Clayton, Paul.txt"
22. I HEREBY CERTIFY. That I attended deceased from,22. I HEREBY CERTIFY. That I attended deceased from,1,"Hunter, George W.txt"
22. I HEREBY CERTIFY. That I attended deceased to,22. I HEREBY CERTIFY. That I attended deceased to,1,"Hunter, George W.txt"
22. I HEREBY CERTIFY. That I last saw h____ alive on,22. I HEREBY CERTIFY. That I last saw h____ alive on,1,"Hunter, George W.txt"
22. I HEREBY CERTIFY. That death is said to have occurred on the date stated above,22. I HEREBY CERTIFY. That death is said to have occurred on the date stated above,1,"Hunter, George W.txt"
22. I last saw h__ alive on (Day),22. I last saw h__ alive on (Day),1,"Williams, Frank.txt"
22. I last saw h__ alive on (Month),22. I last saw h__ alive on (Month),1,"Williams, Frank.txt"
22. I last saw h__ alive on (Year),22. I last saw h__ alive on (Year),1,"Williams, Frank.txt"
22. I last saw him alive on,22. I last saw him alive on,1,"Hall, Thomas.txt"
22. Other Contributory Causes of Importance,22. Other Contributory Causes of Importance,1,"Ennis, Emanuel.txt"
22. Other Contributory Causes of Importance - 1,22. Other Contributory Causes of Importance - 1,1,"Tyler, James.txt"
22. Other Contributory Causes of Importance - 2,22. Other Contributory Causes of Importance - 2,1,"Tyler, James.txt"
22. Other Contributory Causes of Importance - Cause 1,22. Other Contributory Causes of Importance - Cause 1,1,"Clayton, Paul.txt"
22. Other Contributory Causes of Importance - Cause 2,22. Other Contributory Causes of Importance - Cause 2,1,"Clayton, Paul.txt"
22. Other Contributory Causes of importance,22. Other Contributory Causes of importance,1,"Hunter, George W.txt"
22. Other Contributory Causes of importance:,22. Other Contributory Causes of importance:,1,"Williams, Frank.txt"
22. THE PRINCIPAL CAUSE OF DEATH,22. THE PRINCIPAL CAUSE OF DEATH,1,"Hunter, George W.txt"
22. THE PRINCIPAL CAUSE OF DEATH - 1,22. THE PRINCIPAL CAUSE OF DEATH - 1,1,"Tyler, James.txt"
22. THE PRINCIPAL CAUSE OF DEATH - 2,22. THE PRINCIPAL CAUSE OF DEATH - 2,1,"Tyler, James.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Cause 1,22. THE PRINCIPAL CAUSE OF DEATH - Cause 1,1,"Clayton, Paul.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Cause 1 - Date of onset,22. THE PRINCIPAL CAUSE OF DEATH - Cause 1 - Date of onset,1,"Clayton, Paul.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Cause 2,22. THE PRINCIPAL CAUSE OF DEATH - Cause 2,1,"Clayton, Paul.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Cause 2 - Date of onset,22. THE PRINCIPAL CAUSE OF DEATH - Cause 2 - Date of onset,1,"Clayton, Paul.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Cause 3,22. THE PRINCIPAL CAUSE OF DEATH - Cause 3,1,"Clayton, Paul.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Cause 3 - Date of onset,22. THE PRINCIPAL CAUSE OF DEATH - Cause 3 - Date of onset,1,"Clayton, Paul.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Date of onset,22. THE PRINCIPAL CAUSE OF DEATH - Date of onset,1,"Hunter, George W.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Date of onset - 1,22. THE PRINCIPAL CAUSE OF DEATH - Date of onset - 1,1,"Tyler, James.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Date of onset - 2,22. THE PRINCIPAL CAUSE OF DEATH - Date of onset - 2,1,"Tyler, James.txt"
22. THE PRINCIPAL CAUSE OF DEATH - Duration - 1,22. THE PRINCIPAL CAUSE OF DEATH - Duration - 1,1,"Tyler, James.txt"
